Qoil,Qwater,Qgas,BHP,WHP,WHT,Tsep,Psep,Choke_in
5906.9,0,14.77,4314.2,1363.67,156.84,101.74,100,1.16
4848.5,1212.1,12.12,4208.02,1251.73,162.13,108.57,100,1.16
3870.4,2580.3,9.68,4244.36,1158.81,168.3,117.2,100,1.16
2785.8,4178.7,6.96,4343.38,1035.07,174.31,126.33,100,1.16
1513.3,6053.1,3.78,4529.29,825.55,179.87,135.4,100,1.16
5906.9,0,14.77,4314.2,1363.67,156.84,101.74,200,1.16
4848.5,1212.1,12.12,4208.02,1251.73,162.13,108.57,200,1.16
3870.4,2580.3,9.68,4244.36,1158.81,168.3,117.2,200,1.16
2785.8,4178.7,6.96,4343.38,1035.07,174.31,126.33,200,1.16
1513.3,6053.1,3.78,4529.29,825.55,179.87,135.4,200,1.16
5906.9,0,14.77,4314.2,1363.67,156.84,101.74,300,1.16
4848.5,1212.1,12.12,4208.02,1251.73,162.13,108.57,300,1.16
3870.4,2580.3,9.68,4244.36,1158.81,168.3,117.2,300,1.16
2785.8,4178.7,6.96,4343.38,1035.07,174.31,126.33,300,1.16
1513.3,6053.1,3.78,4529.29,825.55,179.87,135.4,300,1.16
5906.9,0,14.77,4314.2,1363.67,156.84,101.74,400,1.16
4848.5,1212.1,12.12,4208.02,1251.73,162.13,108.57,400,1.16
3870.4,2580.3,9.68,4244.36,1158.81,168.3,117.2,400,1.16
2785.7,4178.6,6.96,4343.42,1035.15,174.31,126.33,400,1.16
1503.7,6015,3.76,4536.21,840.31,179.66,135.05,400,1.16
5906.9,0,14.77,4314.2,1363.67,156.84,101.74,500,1.16
4848.2,1212.1,12.12,4208.11,1251.93,162.12,108.56,500,1.16
3866.6,2577.8,9.67,4245.8,1161.91,168.26,117.15,500,1.16
2773.1,4159.7,6.93,4349.44,1048.21,174.15,126.08,500,1.16
1475.7,5903,3.69,4556.43,877.3,178.99,133.94,500,1.16
5901.4,0,14.75,4315.55,1367.06,156.8,101.69,600,1.16
4829.1,1207.3,12.07,4214.32,1263.18,161.97,108.35,600,1.16
3841.4,2560.9,9.6,4255.4,1181.93,167.99,116.76,600,1.16
2738.9,4108.3,6.85,4365.85,1079.31,173.72,125.39,600,1.16
1440.4,5761.7,3.6,4581.95,927.48,178.14,132.55,600,1.16
6216.4,0,15.54,4236.72,1178.53,158.95,104.45,100,1.5
5102.1,1275.5,12.76,4125.68,1073.65,164.21,111.41,100,1.5
4082.3,2721.6,10.21,4163.16,988.07,170.42,120.31,100,1.5
2944.5,4416.8,7.36,4267.41,876.55,176.29,129.5,100,1.5
1603.2,6412.7,4.01,4463.95,692.11,181.66,138.5,100,1.5
6216.4,0,15.54,4236.72,1178.53,158.95,104.45,200,1.5
5102.1,1275.5,12.76,4125.68,1073.65,164.21,111.41,200,1.5
4082.3,2721.6,10.21,4163.16,988.07,170.42,120.31,200,1.5
2944.5,4416.8,7.36,4267.41,876.55,176.29,129.5,200,1.5
1602.8,6411.3,4.01,4464.21,692.68,181.65,138.49,200,1.5
6216.4,0,15.54,4236.72,1178.53,158.95,104.45,300,1.5
5102,1275.5,12.76,4125.69,1073.69,164.21,111.41,300,1.5
4082.1,2721.4,10.21,4163.24,988.25,170.42,120.31,300,1.5
2940.9,4411.3,7.35,4269.14,880.54,176.25,129.43,300,1.5
1589,6356.1,3.97,4474.24,715.44,181.38,138.02,300,1.5
6210.5,0,15.53,4238.18,1182.29,158.91,104.4,400,1.5
5087.1,1271.8,12.72,4130.54,1082.47,164.09,111.24,400,1.5
4061.2,2707.4,10.15,4171.45,1003.57,170.23,120.03,400,1.5
2913.4,4370.2,7.28,4282.28,905.86,175.9,128.88,400,1.5
1559.9,6239.6,3.9,4495.41,756.87,180.8,137.01,400,1.5
6177.7,0,15.44,4246.4,1201.61,158.69,104.11,500,1.5
5050.7,1262.7,12.63,4142.36,1108.82,163.79,110.84,500,1.5
4025,2683.4,10.06,4185.58,1036.28,169.92,119.54,500,1.5
2876.7,4315.1,7.19,4299.85,946.31,175.45,128.15,500,1.5
